JobID|JobName|Partition|NodeList|ReqMem|AllocCPUS|Elapsed|State
11716762_14|LSSboost_openml|zen5_mpi|node742|60G|1|00:08:27|FAILED
11716762_15|LSSboost_openml|zen5_mpi|node743|60G|1|00:30:12|FAILED
11716762_16|LSSboost_openml|zen5_mpi|node708|60G|1|00:07:00|FAILED
11716762_17|LSSboost_openml|zen5_mpi|node712|60G|1|00:03:44|FAILED
11716762_18|LSSboost_openml|zen5_mpi|node718|60G|1|01:20:49|CANCELLED by 2510528
11716779_0|LSSboost_openml|zen5_mpi|node700|60G|1|00:05:55|FAILED
11716779_1|LSSboost_openml|zen5_mpi|node718|60G|1|00:07:59|FAILED
11716779_2|LSSboost_openml|zen5_mpi|node703|60G|1|00:08:10|FAILED
11716779_3|LSSboost_openml|zen5_mpi|node742|60G|1|00:05:03|FAILED
11716779_4|LSSboost_openml|zen5_mpi|node701|60G|1|00:09:09|FAILED
11716779_5|LSSboost_openml|zen5_mpi|node712|60G|1|00:09:17|FAILED
11716779_6|LSSboost_openml|zen5_mpi|node712|60G|1|00:11:48|FAILED
11716779_7|LSSboost_openml|zen5_mpi|node740|60G|1|00:23:44|FAILED
11716779_8|LSSboost_openml|zen5_mpi|node712|60G|1|00:06:05|FAILED
11716779_9|LSSboost_openml|zen5_mpi|node713|60G|1|00:04:42|FAILED
11716779_10|LSSboost_openml|zen5_mpi|node708|60G|1|01:15:10|CANCELLED by 2510528
11716779_11|LSSboost_openml|zen5_mpi|node700|60G|1|00:10:40|FAILED
11716779_12|LSSboost_openml|zen5_mpi|node742|60G|1|00:05:25|FAILED
11716779_13|LSSboost_openml|zen5_mpi|node713|60G|1|00:37:35|FAILED
11716779_14|LSSboost_openml|zen5_mpi|node718|60G|1|00:10:36|FAILED
11716779_15|LSSboost_openml|zen5_mpi|node740|60G|1|00:24:53|FAILED
11716779_16|LSSboost_openml|zen5_mpi|node712|60G|1|00:07:40|FAILED
11716779_17|LSSboost_openml|zen5_mpi|node703|60G|1|00:03:41|FAILED
11716779_18|LSSboost_openml|zen5_mpi|node705|60G|1|01:10:36|CANCELLED by 2510528
11716780_0|LSSboost_openml|zen5_mpi|node715|60G|1|00:09:02|FAILED
11716780_1|LSSboost_openml|zen5_mpi|node706|60G|1|00:10:38|FAILED
11716780_2|LSSboost_openml|zen5_mpi|node701|60G|1|00:09:56|FAILED
11716780_3|LSSboost_openml|zen5_mpi|node712|60G|1|00:05:55|FAILED
11716780_4|LSSboost_openml|zen5_mpi|node706|60G|1|00:09:58|FAILED
11716780_5|LSSboost_openml|zen5_mpi|node742|60G|1|00:12:09|FAILED
11716780_6|LSSboost_openml|zen5_mpi|node703|60G|1|00:13:51|FAILED
